species,speciesno,trayplacement,assignedrandomsamples,block,soil,trtno,newno,rep,treatment,feedstock,temperature,plantednumber,harvest live,percentemerged,aspercent,harvesttotalliveanddead,shootdw,shootdwplant,log10 shootdwplant,pH,EC,log10 EC,P,log10 P,Extra comments 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,140,23,bottom,Coxville,1,1,1,Control,,,25,16,64,0.927295218,16,0.0481,0.00300625,-2.521974906,5.12,309,2.489958479,12.809665,1.107537772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,127,5,bottom,Coxville,2,2,1,PC-350,PC,350,25,21,84,1.159279481,21,0.0807,0.003842857,-2.41534576,5.2,229,2.359835482,12.70681,1.104036536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,84,54,bottom,Coxville,3,3,1,PL-350,PL,350,25,19,76,1.058823639,21,0.0722,0.003438095,-2.463682097,5.81,607,2.783188691,36.36346,1.5606652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,92,36,bottom,Coxville,4,4,1,SS-350,SS,350,25,20,80,1.107148718,20,0.0707,0.003535,-2.451610582,5.76,406,2.608526034,51.071725,1.708180527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,103,44,bottom,Coxville,5,5,1,SG-350,SG,350,25,23,92,1.284039775,23,0.0629,0.002734783,-2.563077191,5.36,199,2.298853076,12.192535,1.086094011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,139,27,bottom,Coxville,6,6,1,55-350,55,350,25,20,80,1.107148718,20,0.0588,0.00294,-2.53165267,5.44,396,2.597695186,26.592235,1.42475484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,97,76,bottom,Coxville,7,7,1,82-350,82,350,25,20,80,1.107148718,20,0.062,0.0031,-2.508638306,5.4,248,2.394451681,15.79246,1.198449786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,87,57,bottom,Coxville,8,8,1,PC-500,PC,500,25,16,64,0.927295218,16,0.0528,0.0033,-2.48148606,5.24,234,2.369215857,14.35249,1.156927253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,88,8,bottom,Coxville,9,9,1,PL-500,PL,500,25,22,88,1.217054721,22,0.0749,0.003404545,-2.467940863,5.87,545,2.736396502,44.38615,1.647247476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,99,73,bottom,Coxville,10,10,1,SS-500,SS,500,25,22,88,1.217054721,22,0.0659,0.002995455,-2.523537266,5.87,406,2.608526034,58.69571,1.76860636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,81,63,bottom,Coxville,11,11,1,SG-500,SG,500,25,21,84,1.159279481,23,0.0574,0.002495652,-2.602815944,5.3,194,2.28780173,13.085635,1.116794802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,83,22,bottom,Coxville,12,12,1,55-500,55,500,25,17,68,0.96953211,18,0.0675,0.00375,-2.425968732,5.7,379,2.57863921,28.20116,1.450266973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,77,68,bottom,Coxville,13,13,1,82-500,82,500,25,19,76,1.058823639,21,0.0467,0.00222381,-2.652902414,5.22,321,2.506505032,16.212985,1.209862981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,126,42,bottom,Coxville,14,14,1,PC-700,PC,700,25,21,84,1.159279481,21,0.0743,0.003538095,-2.451230481,5.37,197,2.294466226,12.251675,1.088195468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
