"taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory",,
"2701010	Luzula echinata (Small) F.J.Herm.	2701010	Luzula echinata (Small) F.J.Herm.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Juncaceae	5353	Luzula	2700604	Luzula echinata	2701010	NE",,
"2704444	Schizachyrium maritimum (Chapm.) Nash	2704444	Schizachyrium maritimum (Chapm.) Nash	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Schizachyrium	2704427	Schizachyrium maritimum	2704444	NE",,
"2742279	Trillium sulcatum T.S.Patrick	2742279	Trillium sulcatum T.S.Patrick	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Liliales	1172	Melanthiaceae	7700	Trillium	2742182	Trillium sulcatum	2742279	LC",,
"2882687	Elliottia racemosa Muhl. ex Elliott	2882687	Elliottia racemosa Muhl. ex Elliott	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Ericaceae	2505	Elliottia	8082513	Elliottia racemosa	2882687	VU",,
"3015389	Crataegus uniflora Münchh.	3015389	Crataegus uniflora Münchh.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Crataegus	3013395	Crataegus uniflora	3015389	NE",,
"3191157	Drosera intermedia Hayne	3191157	Drosera intermedia Hayne	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Droseraceae	5399	Drosera	3190721	Drosera intermedia	3191157	NE",,
"5705596	Solidago canadensis var. scabra (Muhl. ex Willd.) Torr. & A.Gray	5389058	Solidago altissima L.	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Solidago	5388868	Solidago altissima	5389058	",,
"2703179	Deschampsia flexuosa (L.) Trin.	4149465	Avenella flexuosa (L.) Drejer	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Avenella	3232716	Avenella flexuosa	4149465	DD",,
"2927243	Stachys latidens Small ex Britton	2927243	Stachys latidens Small ex Britton	1	SPECIES	DOUBTFUL	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Stachys	2927228	Stachys latidens	2927243	NE",,
"2976109	Baptisia perfoliata (L.) R.Br.	2976109	Baptisia perfoliata (L.) R.Br.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Baptisia	2976053	Baptisia perfoliata	2976109	NE",,
"3158029	Asimina longifolia var. spatulata Kral	3158029	Asimina longifolia var. spatulata Kral	1	VARIETY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Magnoliales	718	Annonaceae	9291	Asimina	3158021	Asimina longifolia	3158026	",,
"4134505	Dichanthelium ensifolium (Baldwin ex Elliott) Gould	4134505	Dichanthelium ensifolium (Baldwin ex Elliott) Gould	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Dichanthelium	2702537	Dichanthelium ensifolium	4134505	NE",,
"6406512	Piriqueta caroliniana (Walter) Urb.	4161209	Piriqueta cistoides subsp. caroliniana (Walter) Arbo	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Turneraceae	2377	Piriqueta	2874854	Piriqueta cistoides	7387042	NE",,
"2741753	Stenanthium robustum S.Watson	2741746	Stenanthium gramineum (Ker Gawl.) Morong	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Liliales	1172	Melanthiaceae	7700	Stenanthium	2741729	Stenanthium gramineum	2741746	NE",,
"2775619	Yucca gloriosa L.	2775619	Yucca gloriosa L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Asparagaceae	7683	Yucca	2775496	Yucca gloriosa	2775619	LC",,
"2927744	Phlox paniculata L.	2927744	Phlox paniculata L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Polemoniaceae	6648	Phlox	2927698	Phlox paniculata	2927744	NE",,
"5388960	Solidago bicolor L.	5388960	Solidago bicolor L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Solidago	5388868	Solidago bicolor	5388960	NE",,
"5414196	Batis maritima L.	5414196	Batis maritima L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Bataceae	6353	Batis	2870361	Batis maritima	5414196	NE",,
"2651329	Osmunda claytoniana L.	9684539	Claytosmunda claytoniana (L.) Metzgar & Rouhan	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Osmundales	7229403	Osmundaceae	2370	Claytosmunda	9736086	Claytosmunda claytoniana	9684539	NE",,
"2705536	Tripsacum dactyloides (L.) L.	2705536	Tripsacum dactyloides (L.) L.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Tripsacum	2705530	Tripsacum dactyloides	2705536	NE",,
"2724284	Carex buxbaumii Wahlenb.	2724284	Carex buxbaumii Wahlenb.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex buxbaumii	2724284	LC",,
"3039194	Parthenocissus quinquefolia (L.) Planch.	3039194	Parthenocissus quinquefolia (L.) Planch.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Vitales	7222050	Vitaceae	6672	Parthenocissus	3039188	Parthenocissus quinquefolia	3039194	LC",,
"5289652	Tridens strictus (Nutt.) Nash	5289652	Tridens strictus (Nutt.) Nash	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Tridens	2702939	Tridens strictus	5289652	NE",,
"7227147	Carex trisperma var. trisperma	7227147	Carex trisperma var. trisperma	2	VARIETY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex trisperma	2725572	",,
"2888711	Diervilla lonicera Mill.	2888711	Diervilla lonicera Mill.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Dipsacales	946	Caprifoliaceae	6710	Diervilla	2888707	Diervilla lonicera	2888711	NE",,
"3172413	Utricularia intermedia Hayne	3172413	Utricularia intermedia Hayne	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lentibulariaceae	2391	Utricularia	3172398	Utricularia intermedia	3172413	LC",,
"5275441	Pellaea atropurpurea (L.) Link	5275441	Pellaea atropurpurea (L.) Link	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Pteridaceae	2367	Pellaea	2651710	Pellaea atropurpurea	5275441	NE",,
"5333392	Lyonia mariana (L.) D.Don	5333392	Lyonia mariana (L.) D.Don	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Ericaceae	2505	Lyonia	2882692	Lyonia mariana	5333392	NE",,
"6448963	Deschampsia caespitosa subsp. glauca (Hartm.) Hartm.	7226886	Deschampsia cespitosa subsp. cespitosa	1	SUBSPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Deschampsia	2703131	Deschampsia cespitosa	8059811	",,
"7219313	Stipulicida setacea var. setacea	3085327	Stipulicida setacea Michx.	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Caryophyllaceae	2518	Stipulicida	3085326	Stipulicida setacea	3085327	",,
"2888627	Viburnum nudum L.	2888627	Viburnum nudum L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Dipsacales	946	Viburnaceae	4924416	Viburnum	2888580	Viburnum nudum	2888627	LC",,
"3150306	Tetragonotheca helianthoides L.	3150306	Tetragonotheca helianthoides L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Tetragonotheca	3150305	Tetragonotheca helianthoides	3150306	NE",,
